symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
BRKM5,GOAU4,BRASKEM,METALURGICA GERDAU,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Holdings,Within-sector,False,0.392746009061998,5783,initial macro-sector classification
POMO4,RAPT4,MARCOPOLO,RANDON,Industrials,Industrials,Transportation Equipment,Transportation Equipment,Commercial Vehicles,Auto Parts,Within-sector,True,0.3916906341728232,6595,initial macro-sector classification
ELET6,TRPL4,ELETROBRAS,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Transmission,Transmission,Within-sector,True,0.3897856900891155,6274,initial macro-sector classification
CMIG3,TRPL4,CEMIG,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Transmission,Within-sector,True,0.384843060782092,6274,initial macro-sector classification
BRKM5,CSNA3,BRASKEM,CSN,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Steel,Within-sector,False,0.3824242230076476,5783,initial macro-sector classification
BBDC4,PSSA3,BRADESCO,PORTO SEGURO,Financials,Financials,Banks,Insurance,Banks,Insurance,Within-sector,False,0.38128661661227,5229,initial macro-sector classification
GGBR4,KLBN4,GERDAU,KLABIN,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,Steel,Paper and Cellulose,Within-sector,False,0.380870111538696,5949,initial macro-sector classification
BRKM5,USIM5,BRASKEM,USIMINAS,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Steel,Within-sector,False,0.3783661031815289,5783,initial macro-sector classification
BBDC3,PSSA3,BRADESCO,PORTO SEGURO,Financials,Financials,Banks,Insurance,Banks,Insurance,Within-sector,False,0.3783615177970335,5229,initial macro-sector classification
BBAS3,PSSA3,BANCO DO BRASIL,PORTO SEGURO,Financials,Financials,Banks,Insurance,Banks,Insurance,Within-sector,False,0.3740117527208589,5229,initial macro-sector classification
CCRO3,RAPT4,CCR,RANDON,Industrials,Industrials,Transportation,Transportation Equipment,Infrastructure,Auto Parts,Within-sector,False,0.3722390636784776,5636,initial macro-sector classification
GOAU4,KLBN4,METALURGICA GERDAU,KLABIN,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,Holdings,Paper and Cellulose,Within-sector,False,0.370865058520663,5949,initial macro-sector classification
ELET3,TRPL4,ELETROBRAS,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Transmission,Transmission,Within-sector,True,0.3708233502724475,6274,initial macro-sector classification
